9869|T002-R1	4835fa79f6331ffe594441a635b47f8c	1183	Pfam	PF01582	TIR domain	15	183	5.2E-44	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T002-R1	4835fa79f6331ffe594441a635b47f8c	1183	Pfam	PF00931	NB-ARC domain	202	445	1.4E-25	T	17-02-2017	IPR002182	NB-ARC
9869|T002-R1	4835fa79f6331ffe594441a635b47f8c	1183	Pfam	PF07725	Leucine Rich Repeat	607	623	5.3E-5	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T003-R1	51f56d6f4198ece757fba3dae6891505	422	Pfam	PF00931	NB-ARC domain	178	390	4.5E-23	T	17-02-2017	IPR002182	NB-ARC
9869|T003-R1	51f56d6f4198ece757fba3dae6891505	422	Pfam	PF01582	TIR domain	6	169	7.2E-20	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T004-R1	96db171061cbcb9b5b8b8c05425d28f4	1306	Pfam	PF01582	TIR domain	11	178	1.0E-45	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T004-R1	96db171061cbcb9b5b8b8c05425d28f4	1306	Pfam	PF00931	NB-ARC domain	189	444	6.5E-23	T	17-02-2017	IPR002182	NB-ARC
9869|T005-R1	df27e4719c1074ef62ec774df05fe310	502	Pfam	PF01582	TIR domain	10	141	1.0E-27	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T007.1-R1	430946f48a5448e25d087f2782ba5bb9	438	Pfam	PF00931	NB-ARC domain	230	388	2.0E-14	T	17-02-2017	IPR002182	NB-ARC
9869|T007.1-R1	430946f48a5448e25d087f2782ba5bb9	438	Pfam	PF01582	TIR domain	39	206	2.8E-50	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T007.2-R1	ba67420bac0771e74b772e16adf3ce6a	315	Pfam	PF01582	TIR domain	9	188	1.7E-51	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T008-R1	32e555632cfdddf92dc52be34cd78f57	380	Pfam	PF00931	NB-ARC domain	192	330	5.0E-6	T	17-02-2017	IPR002182	NB-ARC
9869|T008-R1	32e555632cfdddf92dc52be34cd78f57	380	Pfam	PF01582	TIR domain	8	185	4.6E-56	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T009-R1	a4d61b4821abdb2c7097dc96d7d96011	375	Pfam	PF00931	NB-ARC domain	189	346	5.0E-9	T	17-02-2017	IPR002182	NB-ARC
9869|T009-R1	a4d61b4821abdb2c7097dc96d7d96011	375	Pfam	PF01582	TIR domain	8	188	7.5E-54	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T010-R1	d8aa93141a234b01b2aad6228ed8ab5f	376	Pfam	PF01582	TIR domain	10	187	1.0E-53	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T010-R1	d8aa93141a234b01b2aad6228ed8ab5f	376	Pfam	PF00931	NB-ARC domain	196	347	3.0E-6	T	17-02-2017	IPR002182	NB-ARC
9869|T014-R1	22c9cef6d284f08fe3ee8b1f123d090b	1417	Pfam	PF01582	TIR domain	12	178	3.9E-48	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T014-R1	22c9cef6d284f08fe3ee8b1f123d090b	1417	Pfam	PF00931	NB-ARC domain	192	449	1.9E-19	T	17-02-2017	IPR002182	NB-ARC
9869|T014-R1	22c9cef6d284f08fe3ee8b1f123d090b	1417	Pfam	PF07725	Leucine Rich Repeat	626	644	9.1E-8	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T014-R1	22c9cef6d284f08fe3ee8b1f123d090b	1417	Pfam	PF07725	Leucine Rich Repeat	800	819	7.2E-5	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T015-R1	9865af3e829c53683ab49a0ece802f9d	1941	Pfam	PF01582	TIR domain	12	189	2.0E-48	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T015-R1	9865af3e829c53683ab49a0ece802f9d	1941	Pfam	PF00931	NB-ARC domain	192	440	3.1E-20	T	17-02-2017	IPR002182	NB-ARC
9869|T015-R1	9865af3e829c53683ab49a0ece802f9d	1941	Pfam	PF07725	Leucine Rich Repeat	610	629	6.9E-7	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T015-R1	9865af3e829c53683ab49a0ece802f9d	1941	Pfam	PF07725	Leucine Rich Repeat	740	760	3.4E-6	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T019-R1	e066973f448d74804f1d3b631aa1f5d7	1379	Pfam	PF03106	WRKY DNA -binding domain	1211	1270	6.3E-23	T	17-02-2017	IPR003657	WRKY domain
9869|T019-R1	e066973f448d74804f1d3b631aa1f5d7	1379	Pfam	PF00931	NB-ARC domain	170	407	2.1E-23	T	17-02-2017	IPR002182	NB-ARC
9869|T019-R1	e066973f448d74804f1d3b631aa1f5d7	1379	Pfam	PF07725	Leucine Rich Repeat	577	596	9.4E-9	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T020-R1	13942c2133ee5561ea8b3f7a1961f4db	1217	Pfam	PF01582	TIR domain	16	184	1.1E-40	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T020-R1	13942c2133ee5561ea8b3f7a1961f4db	1217	Pfam	PF00931	NB-ARC domain	211	472	1.6E-29	T	17-02-2017	IPR002182	NB-ARC
9869|T020-R1	13942c2133ee5561ea8b3f7a1961f4db	1217	Pfam	PF07725	Leucine Rich Repeat	638	657	3.7E-8	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T022-R1	95bf5638d1828be542182b61790b0501	169	Pfam	PF01582	TIR domain	12	143	6.8E-31	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T023-R1	626c474264af2f089432b40166ce16c1	994	Pfam	PF01582	TIR domain	167	336	1.0E-34	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T023-R1	626c474264af2f089432b40166ce16c1	994	Pfam	PF00931	NB-ARC domain	367	598	7.0E-23	T	17-02-2017	IPR002182	NB-ARC
9869|T023-R1	626c474264af2f089432b40166ce16c1	994	Pfam	PF07725	Leucine Rich Repeat	793	812	7.8E-7	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T024-R1	d4869882c4daac42d59b4a753d511245	508	Pfam	PF01582	TIR domain	12	177	1.1E-45	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T024-R1	d4869882c4daac42d59b4a753d511245	508	Pfam	PF00931	NB-ARC domain	190	440	7.9E-21	T	17-02-2017	IPR002182	NB-ARC
9869|T026-R1	c115863dd69b648fa86ca7625285041d	1024	Pfam	PF00931	NB-ARC domain	301	471	1.3E-16	T	17-02-2017	IPR002182	NB-ARC
9869|T026-R1	c115863dd69b648fa86ca7625285041d	1024	Pfam	PF01582	TIR domain	56	218	2.4E-50	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T026-R1	c115863dd69b648fa86ca7625285041d	1024	Pfam	PF07725	Leucine Rich Repeat	654	673	2.0E-7	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T026-R1	c115863dd69b648fa86ca7625285041d	1024	Pfam	PF01582	TIR domain	812	995	5.5E-41	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T028-R1	1f2000ded80916d32e2d5f3eccdf038e	1345	Pfam	PF01582	TIR domain	12	178	1.6E-43	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9869|T028-R1	1f2000ded80916d32e2d5f3eccdf038e	1345	Pfam	PF00931	NB-ARC domain	194	447	6.0E-22	T	17-02-2017	IPR002182	NB-ARC
9869|T028-R1	1f2000ded80916d32e2d5f3eccdf038e	1345	Pfam	PF07725	Leucine Rich Repeat	737	757	1.8E-5	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9869|T031-R1	39bbf7c2b5bfe112fd36504a4c3edf6b	392	Pfam	PF01582	TIR domain	16	184	1.7E-36	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
