9580|T001-R1	5889abbd827cea85c8e75073f87ebe8c	526	Pfam	PF01582	TIR domain	17	171	1.6E-23	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9580|T001-R1	5889abbd827cea85c8e75073f87ebe8c	526	Pfam	PF01582	TIR domain	350	518	4.7E-30	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9580|T002-R1	2a9e8a1bcb464aa3c69be4d7c63825ed	1201	Pfam	PF01582	TIR domain	20	180	1.6E-29	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9580|T002-R1	2a9e8a1bcb464aa3c69be4d7c63825ed	1201	Pfam	PF00931	NB-ARC domain	226	263	2.8E-6	T	17-02-2017	IPR002182	NB-ARC
9580|T002-R1	2a9e8a1bcb464aa3c69be4d7c63825ed	1201	Pfam	PF00931	NB-ARC domain	302	457	2.2E-20	T	17-02-2017	IPR002182	NB-ARC
9580|T003-R1	e069753025b018c6352a1ecd41e8d643	2377	Pfam	PF00931	NB-ARC domain	1336	1556	1.4E-25	T	17-02-2017	IPR002182	NB-ARC
9580|T003-R1	e069753025b018c6352a1ecd41e8d643	2377	Pfam	PF01582	TIR domain	167	336	2.6E-33	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9580|T003-R1	e069753025b018c6352a1ecd41e8d643	2377	Pfam	PF00931	NB-ARC domain	367	598	2.6E-22	T	17-02-2017	IPR002182	NB-ARC
9580|T003-R1	e069753025b018c6352a1ecd41e8d643	2377	Pfam	PF07725	Leucine Rich Repeat	797	816	2.0E-6	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9580|T004-R1	f69dce64d4a4b05d27432d7dff6370c2	169	Pfam	PF01582	TIR domain	12	143	1.9E-31	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9580|T007-R1	080e1f556e8c27b5d8db85c76c8c3ca4	1217	Pfam	PF01582	TIR domain	16	184	1.1E-40	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9580|T007-R1	080e1f556e8c27b5d8db85c76c8c3ca4	1217	Pfam	PF00931	NB-ARC domain	211	472	1.6E-29	T	17-02-2017	IPR002182	NB-ARC
