7058|T012-R1	99b26b5bb5359f055c8271c080e214f5	1089	Pfam	PF01582	TIR domain	13	189	6.9E-48	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
7058|T012-R1	99b26b5bb5359f055c8271c080e214f5	1089	Pfam	PF00931	NB-ARC domain	195	445	4.6E-22	T	17-02-2017	IPR002182	NB-ARC
7058|T012-R1	99b26b5bb5359f055c8271c080e214f5	1089	Pfam	PF07725	Leucine Rich Repeat	598	617	3.2E-5	T	17-02-2017	IPR011713	Leucine-rich repeat 3
7058|T013-R1	a66d7dd4a4d1a0d05f60ebf64d7e60c4	1046	Pfam	PF01582	TIR domain	16	192	1.3E-47	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
7058|T013-R1	a66d7dd4a4d1a0d05f60ebf64d7e60c4	1046	Pfam	PF00931	NB-ARC domain	198	450	3.3E-21	T	17-02-2017	IPR002182	NB-ARC
7058|T013-R1	a66d7dd4a4d1a0d05f60ebf64d7e60c4	1046	Pfam	PF07725	Leucine Rich Repeat	604	623	8.7E-10	T	17-02-2017	IPR011713	Leucine-rich repeat 3
7058|T015-R1	71c1ab72c9260fac5f9d77f67a18f637	922	Pfam	PF07725	Leucine Rich Repeat	453	471	2.6E-6	T	17-02-2017	IPR011713	Leucine-rich repeat 3
7058|T015-R1	71c1ab72c9260fac5f9d77f67a18f637	922	Pfam	PF00931	NB-ARC domain	46	298	3.1E-22	T	17-02-2017	IPR002182	NB-ARC
7058|T016-R1	cd455ae3058ade79d9e264bdf742074d	161	Pfam	PF01582	TIR domain	13	153	4.7E-47	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
7058|T018-R1	084cc32004b1597060a53a400c66ff1b	987	Pfam	PF01582	TIR domain	14	216	5.1E-48	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
7058|T018-R1	084cc32004b1597060a53a400c66ff1b	987	Pfam	PF00931	NB-ARC domain	226	477	4.7E-25	T	17-02-2017	IPR002182	NB-ARC
7058|T018-R1	084cc32004b1597060a53a400c66ff1b	987	Pfam	PF07725	Leucine Rich Repeat	606	623	3.0E-6	T	17-02-2017	IPR011713	Leucine-rich repeat 3
7058|T020-R1	5be9a0c55be61ede42d4e2d3aab38515	376	Pfam	PF01582	TIR domain	10	187	2.6E-54	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
7058|T020-R1	5be9a0c55be61ede42d4e2d3aab38515	376	Pfam	PF00931	NB-ARC domain	195	347	1.6E-6	T	17-02-2017	IPR002182	NB-ARC
