9658|T036-R1	e42d955353dda38624f980684aa6ce47	1373	Pfam	PF03106	WRKY DNA -binding domain	1211	1270	5.5E-23	T	17-02-2017	IPR003657	WRKY domain
9658|T036-R1	e42d955353dda38624f980684aa6ce47	1373	Pfam	PF00931	NB-ARC domain	170	407	2.1E-25	T	17-02-2017	IPR002182	NB-ARC
9658|T036-R1	e42d955353dda38624f980684aa6ce47	1373	Pfam	PF07725	Leucine Rich Repeat	577	596	9.3E-9	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T037-R1	6a81390de08eb7af5ac4b387a017195d	1217	Pfam	PF01582	TIR domain	16	184	1.1E-40	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T037-R1	6a81390de08eb7af5ac4b387a017195d	1217	Pfam	PF00931	NB-ARC domain	211	472	1.6E-29	T	17-02-2017	IPR002182	NB-ARC
9658|T037-R1	6a81390de08eb7af5ac4b387a017195d	1217	Pfam	PF07725	Leucine Rich Repeat	638	657	3.7E-8	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T040-R1	9733ee29296ea902aeb33427122cbf6d	1772	Pfam	PF07725	Leucine Rich Repeat	214	233	1.5E-6	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T040-R1	9733ee29296ea902aeb33427122cbf6d	1772	Pfam	PF00931	NB-ARC domain	753	973	9.6E-26	T	17-02-2017	IPR002182	NB-ARC
9658|T041-R1	5e9df875dac2e180d08b34c8ba0fdf97	1201	Pfam	PF01582	TIR domain	20	180	4.2E-29	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T041-R1	5e9df875dac2e180d08b34c8ba0fdf97	1201	Pfam	PF00931	NB-ARC domain	226	263	2.8E-6	T	17-02-2017	IPR002182	NB-ARC
9658|T041-R1	5e9df875dac2e180d08b34c8ba0fdf97	1201	Pfam	PF00931	NB-ARC domain	302	457	3.4E-19	T	17-02-2017	IPR002182	NB-ARC
9658|T043-R1	bbfbb88503ddc6b0def9eca01a970dba	561	Pfam	PF01582	TIR domain	17	171	7.4E-23	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T043-R1	bbfbb88503ddc6b0def9eca01a970dba	561	Pfam	PF01582	TIR domain	384	553	3.2E-30	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T044-R1	95ee4cc416314c44f83eb3f704b3392b	697	Pfam	PF00931	NB-ARC domain	180	422	2.9E-28	T	17-02-2017	IPR002182	NB-ARC
9658|T044-R1	95ee4cc416314c44f83eb3f704b3392b	697	Pfam	PF07725	Leucine Rich Repeat	580	597	6.7E-5	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T044-R1	95ee4cc416314c44f83eb3f704b3392b	697	Pfam	PF01582	TIR domain	9	165	2.3E-19	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T045-R1	ebd7794c807dba94ce647c9bf7e1731d	1260	Pfam	PF01582	TIR domain	18	180	3.1E-32	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T045-R1	ebd7794c807dba94ce647c9bf7e1731d	1260	Pfam	PF00931	NB-ARC domain	218	472	7.1E-24	T	17-02-2017	IPR002182	NB-ARC
9658|T045-R1	ebd7794c807dba94ce647c9bf7e1731d	1260	Pfam	PF07725	Leucine Rich Repeat	639	658	7.3E-6	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T046-R1	b1a37818f2bd1f79cc2e291fb034d431	754	Pfam	PF00931	NB-ARC domain	173	404	4.6E-20	T	17-02-2017	IPR002182	NB-ARC
9658|T046-R1	b1a37818f2bd1f79cc2e291fb034d431	754	Pfam	PF01582	TIR domain	46	150	1.6E-14	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T046-R1	b1a37818f2bd1f79cc2e291fb034d431	754	Pfam	PF07725	Leucine Rich Repeat	546	565	4.5E-8	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T047-R1	b3f41a4b7793c81d826ac923861df07f	1149	Pfam	PF01582	TIR domain	14	174	2.5E-30	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T047-R1	b3f41a4b7793c81d826ac923861df07f	1149	Pfam	PF00931	NB-ARC domain	189	442	3.5E-24	T	17-02-2017	IPR002182	NB-ARC
9658|T049-R1	c4f99734f4db439827383c618ba5e07a	1096	Pfam	PF01582	TIR domain	15	188	6.2E-52	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T049-R1	c4f99734f4db439827383c618ba5e07a	1096	Pfam	PF00931	NB-ARC domain	192	446	1.4E-22	T	17-02-2017	IPR002182	NB-ARC
9658|T049-R1	c4f99734f4db439827383c618ba5e07a	1096	Pfam	PF07725	Leucine Rich Repeat	604	623	1.7E-10	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T052-R1	dd5dc1db44e7d9df5bbdbd7fda6163ce	1142	Pfam	PF01582	TIR domain	13	179	1.8E-45	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T052-R1	dd5dc1db44e7d9df5bbdbd7fda6163ce	1142	Pfam	PF00931	NB-ARC domain	192	440	5.2E-17	T	17-02-2017	IPR002182	NB-ARC
9658|T052-R1	dd5dc1db44e7d9df5bbdbd7fda6163ce	1142	Pfam	PF07725	Leucine Rich Repeat	603	622	1.3E-7	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T055-R1	8cc7231907894816b171d638e8f64267	862	Pfam	PF01582	TIR domain	13	186	1.5E-47	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T055-R1	8cc7231907894816b171d638e8f64267	862	Pfam	PF00931	NB-ARC domain	190	442	1.8E-24	T	17-02-2017	IPR002182	NB-ARC
9658|T055-R1	8cc7231907894816b171d638e8f64267	862	Pfam	PF07725	Leucine Rich Repeat	575	594	1.7E-7	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T056-R1	e00c5d151f98d789cd799d2a3aa27701	1142	Pfam	PF01582	TIR domain	12	186	1.7E-46	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T056-R1	e00c5d151f98d789cd799d2a3aa27701	1142	Pfam	PF00931	NB-ARC domain	194	445	6.7E-20	T	17-02-2017	IPR002182	NB-ARC
9658|T056-R1	e00c5d151f98d789cd799d2a3aa27701	1142	Pfam	PF07725	Leucine Rich Repeat	600	616	1.2E-5	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T058-R1	f14b0bd9cfe0e3465ee5909983c8db0c	1051	Pfam	PF01582	TIR domain	13	181	7.7E-47	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T058-R1	f14b0bd9cfe0e3465ee5909983c8db0c	1051	Pfam	PF00931	NB-ARC domain	181	409	9.8E-12	T	17-02-2017	IPR002182	NB-ARC
9658|T058-R1	f14b0bd9cfe0e3465ee5909983c8db0c	1051	Pfam	PF07725	Leucine Rich Repeat	567	584	1.7E-5	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T063-R1	165acc29bdf2a078c4d2595f4dc4a1df	1187	Pfam	PF00931	NB-ARC domain	196	430	7.7E-18	T	17-02-2017	IPR002182	NB-ARC
9658|T063-R1	165acc29bdf2a078c4d2595f4dc4a1df	1187	Pfam	PF01582	TIR domain	21	185	1.0E-49	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
9658|T063-R1	165acc29bdf2a078c4d2595f4dc4a1df	1187	Pfam	PF07725	Leucine Rich Repeat	573	591	2.1E-7	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T063-R1	165acc29bdf2a078c4d2595f4dc4a1df	1187	Pfam	PF07725	Leucine Rich Repeat	733	752	2.4E-4	T	17-02-2017	IPR011713	Leucine-rich repeat 3
9658|T066-R1	317db863ae97e14b858e74e14b418943	1069	Pfam	PF01582	TIR domain	12	176	1.2E-46	T	17-02-2017	IPR000157	Toll/interleukin-1 receptor homology (TIR) domain
