idnew	nuc.diversity.within	hap.diversity.within	Pi	Tajima.D	n.segregating.sites	Rozas.R_2	Fu.Li.F	Fu.Li.D	Fu.F_S	Strobeck.S	alnlength	size	class	subclass	cls.per	ids	pairs	branchlength	edpSel	pdpSel	pSelCls	exp.avg	exp.dev	ogtype	araport11	expression.strength	tissue.bias	pathogen.induction
100.1	0.00459518110186231	0.960526315789474	0.00459518110186231	-2.11339765744794	182	0.0456334535198984	-4.09557139890185	-4.3626183718951	-3.06313790748906	0.976484754722693	3474	57	TNL	TNL	90.16	0	0	0.000679315	6	1	2	97.96	13.29	core	AT5G46450.1	100	Leaf	–
101.1	0.00183104541657173	0.946753246753247	0.00183104541657173	-2.35648056269386	72	0.0489263676495307	-3.82961907705979	-3.82135908102015	-18.4632009693055	0.999999998365278	2736	56	CNL	CN	0.00	0	0	0.000288789	1	0	1	93.14	21.07	core	NA	NA	NA	NA
10.2	0.0158518518518519	0.99	0.0158518518518519	-1.05451978576955	340	0.082231722761801	-1.71034064756474	-1.78893957234759	-0.0353600388905183	0.735321394741126	4185	25	TNL	TNL	0.00	0	0	0.00612406	22	70	2	99.68	1.14	shell	NA	NA	NA	NA
102.10	0.00464259581661746	0.872727272727273	0.00464259581661747	0.655194031707118	43	0.176022480308657	0.788940196929246	0.61766753818666	2.84061047825749	0.182969299057261	3603	11	TNL	TN	73.33	0	0	0.00109947	0	7	2	0	0.00	cloud	NA	NA	NA	NA
102.2	0.00260893699694699	1	0.00260893699694699	-0.154012036418205	20	0.132759180473518	0.178206444748639	-0.154012036418206	-0.420819425993324	1	3603	5	TNL	TN	55.56	0	0	0.000855143	0	0	1	0	0.00	cloud	NA	NA	NA	NA
102.4	0.00887216648086213	0.833333333333333	0.00887216648086213	-0.451101128023848	61	0.264741973589853	0.122666145703279	-0.451101128023847	4.67881967979942	0.166335033037936	3588	4	TNL	TN	50.00	0	0	0.003668	0	0	1	0	0.00	cloud	NA	NA	NA	NA
102.8	0.0020649216246168	0.891774891774892	0.0020649216246168	-1.84119861932038	50	0.14531632527751	-3.09977041226507	-3.23412370070876	0.775045222445988	0.495966216317284	3543	22	TNL	TNL	80.77	0	0	0.000589171	0	0	1	41.36	2.79	shell	NA	NA	NA	NA
10.3	0.0200542005420054	0.977777777777778	0.0200542005420054	-0.305764535406182	223	0.134529147982063	-0.125674568127814	-0.236770459917494	2.16553584398711	0.442132254765674	3690	10	TNL	TNL	0.00	0	0	0.00619329	5	23	2	88.5	31.45	cloud	NA	NA	NA	NA
103.1	0.00217021325200745	0.822727272727273	0.00217021325200745	-1.5369983999508	22	0.0587344929659967	-1.46139852922095	-1.11187573229382	-3.12970514188245	0.982414006880729	1137	56	NL	N	0.00	0	0	0.000212661	0	0	1	0	0.00	core	NA	NA	NA	NA
104.1	0.0282506830264026	0.979734451432565	0.0282506830264026	0.250745757748735	317	0.114442921813411	0.582639959007092	0.604037786449239	3.10090854701335	0.0800605888646835	2634	54	NL	N	0.00	0	0	0.00399034	17	71	2	97.56	13.76	core	AT3G46530.1	100	Leaf	–
10.5	0.0222351797862002	1	0.0222351797862002	-0.300568002600495	211	0.136372675456591	-0.172159334363016	-0.415787287934026	1.25672157007255	1	3675	7	TNL	TNL	0.00	0	0	0.00891182	4	8	2	99.86	0.38	cloud	NA	NA	NA	NA
105.1	0.0133510747381499	0.990320629159105	0.0133510747381499	-1.60396147029976	396	0.0583359657172517	-3.22260946003078	-3.49138556674873	-4.31712459140652	0.994430324718172	3534	58	TNL	TNL	90.32	0	0	0.0022736	14	18	2	91.88	19.13	core	AT5G46270.4	100	Leaf	–
106.1	0.00186317699545213	0.952861952861953	0.00186317699545213	-2.65398592544221	177	0.0808707696924951	-5.84420491028638	-6.43158838856427	-2.43242048486264	0.955622579050401	5292	55	TNL	TNL	86.44	0	24	0.00208282	29	13	2	3.96	1.25	core	NA	NA	NA	NA
10.7	0.00968023161583436	0.986928104575163	0.00968023161583436	-2.2061284665463	265	0.0917969641453561	-2.69606840277763	-2.60950537191946	-0.592524281435451	0.859475874009019	3831	18	TNL	TNL	0.00	0	0	0.00332124	4	0	1	71.44	22.38	shell	NA	NA	NA	NA
107.1	0.00570466992767256	0.968181818181818	0.00570466992767256	-2.80730551839575	410	0.0664272721060576	-6.46642507586537	-7.22393575081845	-6.99106809208641	0.999673527899247	3417	56	TNL	TNL	91.67	0	0	0.00226386	19	2	2	93.7	19.25	core	AT1G63740.2	100	Leaf+Root	–
10.8	0.00689283033033033	0.991666666666667	0.00689283033033033	-1.83852795809495	141	0.173823543389349	-2.58257802738895	-2.66545947458575	-2.22876057416298	0.983529484163864	3552	16	TNL	TNL	75.00	0	0	0.00200376	2	0	1	81.69	13.40	shell	NA	NA	NA	NA
108.1	0.00754147812971342	0.82051282051282	0.00754147812971342	-1.64633272195358	12	0.179372674097862	-1.97633912422299	-2.03205346896751	-0.762893654372698	0.865158885833251	306	13	RNL	R	76.47	0	0	0.0018397	0	0	1	13.62	9.28	shell	NA	NA	NA	NA
108.12	0	0	0	NA	NA	NA	NA	NA	NA	NA	402	9	RNL	R	69.23	0	0	0	0	0	1	16.67	10.65	cloud	NA	NA	NA	NA
108.16	0.00381263616557734	0.388888888888889	0.00381263616557734	0.217545719330333	3	0.194444444444444	1.06193377034624	1.1884421493465	2.40873138182438	0.34413255376433	306	9	RNL	R	69.23	0	0	0.000658467	0	0	1	16.22	7.33	cloud	NA	NA	NA	NA
108.8	0.0428030303030303	0.6	0.0428030303030303	-1.16321255103712	63	0.306431438918022	-0.851909513499474	-1.15485233541974	7.45446257789792	0.0111107785335852	528	6	RNL	R	60.00	0	0	0.0312176	0	1	2	24.83	8.91	cloud	NA	NA	NA	NA
109.1	0.0103551235626707	0.957372466806429	0.0103551235626707	-0.900227929129187	177	0.0886413921798971	-3.12478259605102	-3.78492593221747	2.19408786474843	0.162140636890588	2805	54	CNL	CNL	51.72	0	1	0.00155401	4	0	1	30.15	14.47	core	NA	NA	NA	NA
1.10	0.0330100391356134	0.933333333333333	0.0330100391356134	-0.164983539647746	303	0.161506490917481	0.0499208336625142	-0.230303139139449	5.37141744820845	0.108071370084582	3918	6	TNL	TNL	0.00	0	0	0.0112553	2	0	1	94.17	4.62	cloud	NA	NA	NA	NA
110.1	0.00888386861676713	0.972746331236897	0.00888386861676713	-2.55237142136192	470	0.0643776409016334	-5.65195346722145	-6.24661371564689	-4.9610126484059	0.997195994569216	3402	54	TNL	TNL	51.72	0	17	0.00389333	33	6	2	52.76	20.92	core	AT1G56540.1	20	Leaf	–
11.10	0.000612745098039216	0.323529411764706	0.000612745098039216	-0.696805878663983	2	0.140718082419152	-0.584785593514978	-0.529027200464864	-0.623475112049727	0.8897032970129	696	17	TNL	T	38.10	0	0	0.000113129	0	0	1	0.41	0.51	shell	AT1G57850.1	20	Leaf	–
111.1	0.00172176934838305	0.683599419448476	0.00172176934838305	-2.2708468963561	30	0.0730895052542494	-4.47871712235498	-4.71876473793676	-4.35869788576853	0.995646174773291	1197	53	TNL	TN	91.23	0	0	0.000440524	0	0	1	0	0.00	core	NA	NA	NA	NA
11.14	0.00954478707782672	1	0.00954478707782672	-0.0700382430818924	12	0.123251662147909	0.407222773691621	-0.0700382430818916	-0.186711844672289	1	681	4	TNL	T	12.50	0	0	0.0039128	0	0	1	0	0.00	cloud	NA	NA	NA	NA
11.16	0.00455684666210982	0.80952380952381	0.00455684666210982	0.846735500635536	6	0.223353131420163	0.701186442934538	0.438764875024643	0.561626678641097	0.690549010985289	627	7	TNL	T	0.00	0	0	0.00116582	0	0	1	0	0.00	cloud	NA	NA	NA	NA
11.2	0	0	0	NA	NA	NA	NA	NA	NA	NA	627	4	TNL	T	25.00	0	0	0	0	0	1	0	0.00	cloud	NA	NA	NA	NA
11.20	0.0033217073575818	0.972222222222222	0.0033217073575818	-0.611972986114868	7	0.125988157669742	-0.799943305961784	-1.02031345888368	-5.48455345897111	0.999759695728978	669	9	TNL	T	0.00	0	0	0.0008242	0	0	1	0	0.00	cloud	NA	NA	NA	NA
112.1	0.0421552589755355	0.974025974025974	0.0421552589755355	3.3906066211674	389	0.209357957489268	2.19520588137968	0.806124668119482	11.0325415719339	6.22206423594198e-05	3906	56	TNL	TNL	33.33	0	18	0.00247186	23	6	2	83.02	17.82	core	AT4G19530.2	1000	Leaf	–
11.23	0.0109739368998628	0.5	0.0109739368998628	-0.849027712467093	16	0.433012701892219	-0.217857588653712	-0.849027712467091	5.09986642782419	0.094949494949495	729	4	TNL	T	12.50	0	0	0.0124298	0	0	1	0	0.00	cloud	NA	NA	NA	NA
1.13	0.0235489220563847	1	0.0235489220563847	-0.566969571802963	415	0.106929217328227	-0.521137002664188	-0.547596004859315	-0.62451343978152	1	4623	16	TNL	TNL	40.00	0	0	0.0141069	29	13	2	88.94	9.21	shell	NA	NA	NA	NA
113.1	0.00324602760182936	0.970196078431373	0.00324602760182936	-2.74289588001302	463	0.0596630203165616	-6.15893646193303	-6.81067570565897	-1.64923010929474	0.902317353542842	7773	51	TNL	TNL	67.27	0	0	0.00167544	41	2	2	0.84	0.37	shell	NA	NA	NA	NA
1.14	0.0319791924696557	0.981818181818182	0.0319791924696557	-0.707811769948146	483	0.10669177205424	-0.581070926965684	-0.65586470477189	2.94063414931657	0.316934577050433	4404	11	TNL	TNL	20.00	0	0	0.0181532	19	6	2	79	32.42	cloud	NA	NA	NA	NA
114.1	0.00191009392688353	0.792452830188679	0.00191009392688353	-2.84839917140647	122	0.0690167277943149	-6.37121962297934	-7.01172755514865	-1.37662516811723	0.880391848371522	2778	53	NL	N	0.00	0	0	0.0010661	7	0	1	72.43	17.77	core	AT3G07040.1	100	Leaf	–
1.15	0.0379310344827586	1	0.0379310344827586	-0.259285332025582	361	0.151648072314068	0.0174152772862843	-0.24480386104664	2.27723135972949	1	4002	6	TNL	TNL	10.00	0	0	0.0152967	8	0	1	91	5.40	cloud	NA	NA	NA	NA
