100.1	PF00931	728	3	0.412	N
100.1	PF01582	527	3	0.569	T
101.1	PF00931	881	1	0.11	N
10.3	PF01582	521	3	0.576	T
105.1	PF01582	518	6	1.158	T
106.1	PF00931	683	3	0.439	N
106.1	PF01582	494	12	2.429	T
107.1	PF00931	782	9	1.151	N
107.1	PF01582	527	6	1.139	T
10.7	PF01582	518	3	0.579	T
10.8	PF01582	518	3	0.579	T
109.1	PF13855	179	3	1.676	L
110.1	PF00931	767	21	2.738	N
110.1	PF07725	59	12	20.339	L
110.1	PF01582	518	12	2.317	T
112.1	PF01582	500	24	4.8	T
113.1	PF00931	1357	24	1.769	N
1.13	PF00931	773	6	0.776	N
1.13	PF01582	536	3	0.56	T
114.1	PF00931	863	9	1.043	N
1.14	PF00931	776	9	1.16	N
1.14	PF01582	536	3	0.56	T
115.1	PF00931	863	27	3.129	N
1.15	PF01582	536	3	0.56	T
117.1	PF00931	386	3	0.777	N
117.1	PF12315	632	6	0.949	X
1.18	PF00931	779	3	0.385	N
1.18	PF01582	536	6	1.119	T
120.1	PF00931	803	27	3.362	N
1.21	PF00931	773	6	0.776	N
1.21	PF01582	536	9	1.679	T
122.1	PF00931	473	3	0.634	N
122.1	PF01582	539	6	1.113	T
1.22	PF07725	59	3	5.085	L
12.2	PF00931	822	3	0.365	N
1.23	PF00931	779	3	0.385	N
124.1	PF01582	515	12	2.33	T
127.1	PF00931	833	9	1.08	N
1.27	PF00931	770	12	1.558	N
1.27	PF01582	533	3	0.563	T
128.1	PF00931	752	12	1.596	N
128.1	PF01582	530	15	2.83	T
130.1	PF12315	640	3	0.469	X
130.1	PF07725	59	3	5.085	L
133.1	PF00931	755	3	0.397	N
133.1	PF01582	524	3	0.573	T
135.1	PF00931	737	9	1.221	N
13.5	PF00931	689	15	2.177	N
136.1	PF01582	512	6	1.172	T
137.1	PF01582	521	3	0.576	T
138.1	PF00931	779	15	1.926	N
138.1	PF07725	56	3	5.357	L
138.1	PF01582	524	6	1.145	T
139.1	PF00931	761	3	0.394	N
140.1	PF00931	746	30	4.021	N
140.1	PF07725	59	5	8.475	L
140.1	PF01582	500	33	6.6	T
141.1	PF01582	395	3	0.759	T
14.1	PF00931	875	12	1.371	N
142.1	PF00931	737	6	0.814	N
143.1	PF01582	524	18	3.435	T
145.1	PF01582	536	3	0.56	T
146.1	PF01582	527	1	0.19	T
148.1	PF00931	695	9	1.295	N
148.1	PF01582	314	3	0.955	T
149.1	PF01582	545	1	0.18	T
149.1	PF00931	794	2	0.25	N
15.1	PF00931	863	3	0.348	N
153.1	PF00931	740	3	0.405	N
153.1	PF01582	509	18	3.536	T
15.3	PF00931	875	3	0.343	N
154.1	PF08381	471	9	1.911	X
15.4	PF00931	890	6	0.674	N
155.1	PF00931	665	21	3.158	N
155.1	PF01582	530	12	2.264	T
15.6	PF00931	878	1	0.11	N
159.1	PF07725	118	3	2.542	L
160.1	PF00931	707	18	2.546	N
160.1	PF01582	509	6	1.179	T
16.11	PF00931	743	15	2.019	N
16.11	PF01582	500	3	0.6	T
161.1	PF01582	524	3	0.573	T
16.2	PF01582	497	3	0.604	T
163.3	PF01582	494	9	1.822	T
16.3	PF01582	491	9	1.833	T
165.5	PF00931	779	9	1.155	N
165.5	PF01582	533	9	1.689	T
165.6	PF00931	773	3	0.388	N
165.6	PF01582	533	3	0.563	T
165.7	PF00931	764	9	1.178	N
165.7	PF01582	536	3	0.56	T
166.1	PF00931	710	3	0.423	N
166.1	PF01582	494	6	1.215	T
16.6	PF00931	752	6	0.798	N
16.6	PF01582	491	6	1.222	T
169.1	PF00635	628	9	1.433	X
170.1	PF01582	530	9	1.698	T
171.1	PF00931	749	9	1.202	N
171.1	PF01582	503	9	1.789	T
172.1	PF00931	809	9	1.112	N
176.2	PF00931	779	15	1.926	N
176.3	PF01582	536	15	2.799	T
178.4	PF00931	722	3	0.416	N
179.2	PF00931	743	9	1.211	N
179.2	PF01582	533	3	0.563	T
